Feature,Importance_Gain,Relative_Importance_(%)
近7天病株数,2159.6048257785224,41.717986962039866
病虫害_3,1573.840380422771,30.402530910783632
病虫害_2,1181.4515338283338,22.822591937283956
病虫害_1,152.63936443533748,2.948598252512198
BTM_生物威胁动量,57.131920869969775,1.1036411391192753
降水量,51.87445610077167,1.0020804998408723
平均气温,0.07735316214967916,0.001494263289057781
相对湿度,0.018439974440422585,0.0003562126756262356
LWI_光水滋养,0.012444042440273067,0.00024038675691106406
THI_温湿胁迫,0.010192050306418659,0.0001968840857939597
近7天虫口密度,0.007483600539564737,0.00014456383224006273
日照时数,0.00710223083045459,0.00013719675454026243
PRI_抗药性预警,4.052545356708387e-05,7.82847085430499e-07
品种_梨,3.3371500762768846e-07,6.446511959534165e-09
病虫害_0,8.968279985310801e-08,1.7324400419611245e-09
土壤湿度,2.7755590091289633e-17,5.361663077108222e-19
近30天用药次数,0.0,0.0
风速,0.0,0.0
品种_苹果,0.0,0.0
品种_柑橘,0.0,0.0
品种_桃,0.0,0.0
