特征,SHAP|mean|_等级0,SHAP|mean|_等级1,SHAP|mean|_等级2,SHAP总贡献
近7天病株数,1.2131880130870705,0.7980507449417458,0.00047823970142836465,2.0117169977302445
日照时数,0.42831565470683014,0.06693508100706343,0.6805552849930303,1.1758060207069239
BTM_生物威胁动量,0.4055793909375781,0.2378005762173138,0.025923836772516685,0.6693038039274085
降水量,0.0,0.28294717270075204,0.25671233209767197,0.5396595047984241
LWI_光水滋养,0.0,0.17656647185581228,0.35683537434986756,0.5334018462056799
相对湿度,0.0,0.22628353100640242,0.24139489709814918,0.4676784281045516
PRI_抗药性预警,0.13730158771204057,0.192183299300741,0.002730071583214525,0.3322149585959961
风速,0.05703238220269046,0.0019394508036962228,0.00962092724987995,0.06859276025626664
品种_梨,0.0,0.0,0.0433714746023838,0.0433714746023838
近7天虫口密度,0.0,0.022925476578049452,0.0187155091969528,0.04164098577500225
THI_温湿胁迫,0.0,0.007368573655129451,0.0014392439916150507,0.008807817646744502
平均气温,0.0,0.0,0.00671115562408702,0.00671115562408702
品种_苹果,0.0,0.0026155719532191166,0.0,0.0026155719532191166
近30天用药次数,0.0,0.0,0.0,0.0
土壤湿度,0.0,0.0,0.0,0.0
品种_桃,0.0,0.0,0.0,0.0
品种_柑橘,0.0,0.0,0.0,0.0
