地块ID,果树品种,平均气温,相对湿度,降水量,日照时数,土壤湿度,风速,近7天病株数,近7天虫口密度,近30天用药次数,病虫害类型,风险等级
F1,苹果,22.3,78,12.5,5.2,32,1.8,2,3.2,2,1,中
F2,梨,25.1,82,18.2,4.1,35,2.1,5,5.8,3,3,高
F3,柑橘,19.8,65,3.2,7.3,28,1.2,0,0.5,1,0,低
F4,桃,27.5,85,22.8,3.5,38,2.5,8,7.1,4,3,高
F5,苹果,21.6,72,8.9,6.1,30,1.5,1,2.1,2,1,低
F6,梨,24.2,79,15.3,4.8,33,1.9,3,4.3,3,2,中
F7,柑橘,23.7,70,5.1,6.8,29,1.3,0,0.3,1,0,低
F8,桃,26.8,83,19.5,3.9,36,2.2,6,6.5,3,3,高
F9,苹果,20.5,68,4.2,7.5,27,1.1,0,1.2,1,0,低
F10,梨,22.9,75,10.1,5.5,31,1.7,2,3.5,2,2,中
F11,柑橘,25.4,81,16.7,4.4,34,2,4,5.2,3,1,中
F12,桃,28.1,86,24.3,3.2,39,2.6,9,8.3,4,3,高
F13,苹果,23.2,74,9.8,6.3,30,1.6,1,2.8,2,1,低
F14,梨,21.8,71,7.5,6.6,29,1.4,0,1.9,1,0,低
F15,柑橘,26.3,80,17.9,4.2,35,2.1,5,5.9,3,2,中
F16,桃,24.7,77,13.4,5.1,32,1.8,3,4.1,2,2,中
F17,苹果,27.2,84,21.5,3.7,37,2.3,7,6.9,3,3,高
F18,梨,19.5,66,2.8,7.4,26,1,0,0.4,1,0,低
F19,柑橘,22.5,73,8.6,6,30,1.5,1,2.5,2,1,低
F20,桃,25.8,78,14.2,4.9,33,1.9,4,4.7,3,2,中
F21,苹果,24.1,76,11.3,5.7,31,1.7,2,3.3,2,1,中
F22,梨,26.5,82,18.9,4,36,2.2,6,6.2,3,3,高
F23,柑橘,20.8,69,4.9,7.1,28,1.2,0,0.8,1,0,低
F24,桃,23.9,75,12.1,5.3,32,1.6,2,3.8,2,2,中
F25,苹果,28.4,85,23.6,3.4,38,2.4,8,7.6,4,3,高
F26,梨,22.1,70,6.7,6.8,28,1.3,0,1.5,1,0,低
F27,柑橘,25.2,79,16.1,4.6,34,2,4,5.4,3,1,中
F28,桃,21.4,67,3.8,7.6,27,1.1,0,0.6,1,0,低
F29,苹果,24.5,77,12.8,5,33,1.8,3,4.2,2,2,中
F30,梨,27.8,83,20.4,3.8,37,2.3,7,7,3,3,高
F31,柑橘,23.5,72,8.1,6.4,30,1.4,1,2.2,2,1,低
F32,桃,20.2,64,2.1,7.8,25,0.9,0,0.2,1,0,低
F33,苹果,26,81,17.3,4.3,35,2.1,5,5.7,3,2,中
F34,梨,23.8,74,9.4,6.2,30,1.6,1,2.7,2,1,低
F35,柑橘,25.7,78,14.8,4.8,33,1.9,3,4.5,2,2,中
F36,桃,28.7,87,25.1,3,40,2.7,10,9.1,5,3,高
F37,苹果,21.2,68,4.5,7.2,27,1,0,1.1,1,0,低
F38,梨,24.4,76,11.9,5.4,31,1.7,2,3.6,2,1,中
F39,柑橘,22.8,73,8.8,5.9,30,1.5,1,2.4,2,1,低
F40,桃,26.9,82,19.2,4.1,36,2.2,6,6.4,3,3,高
F41,苹果,25.3,79,15.8,4.7,34,2,4,5.1,3,2,中
F42,梨,20.1,65,2.5,7.7,26,1,0,0.7,1,0,低
F43,柑橘,24,75,12.4,5.2,32,1.6,2,3.9,2,2,中
F44,桃,23.1,71,7.2,6.7,29,1.3,0,1.8,1,0,低
F45,苹果,27.4,84,21.8,3.6,37,2.3,7,7.2,4,3,高
F46,梨,22.4,72,7.8,6.5,29,1.4,0,2,1,0,低
F47,柑橘,26.2,80,18.2,4.2,35,2.1,5,6,3,2,中
F48,桃,24.9,77,13.7,5,32,1.8,3,4.4,2,2,中
F49,苹果,21.9,70,6.3,6.9,28,1.2,0,1.4,1,0,低
F50,梨,28.2,85,22.9,3.5,38,2.4,8,7.8,4,3,高
F51,柑橘,20.7,68,4.1,7.3,27,1.1,0,0.9,1,0,低
F52,桃,25.5,78,14.5,4.8,33,1.9,4,4.9,3,2,中
F53,苹果,24.2,75,10.5,5.8,31,1.6,1,2.9,2,1,低
F54,梨,23.4,73,8.4,6.3,30,1.4,1,2.3,2,1,低
F55,柑橘,27.1,83,20.1,3.9,37,2.2,6,6.7,3,3,高
F56,桃,21.5,66,3.5,7.5,26,1,0,0.5,1,0,低
F57,苹果,26.4,81,17.6,4.4,35,2,5,5.8,3,2,中
F58,梨,24.8,77,13.1,5.1,32,1.7,2,3.4,2,1,中
F59,柑橘,22.6,72,8.3,6.1,30,1.5,1,2.6,2,1,低
F60,桃,25.9,79,15.2,4.6,34,1.9,4,5,3,2,中
F61,苹果,23.6,74,9.1,6,30,1.5,1,2.1,2,1,低
F62,梨,27.6,84,21.2,3.7,37,2.3,7,7.3,4,3,高
F63,柑橘,20.4,67,3.1,7.6,26,1,0,0.3,1,0,低
F64,桃,22.2,71,7.1,6.8,29,1.3,0,1.7,1,0,低
F65,苹果,25.1,78,14.1,4.9,33,1.8,3,4.3,2,2,中
F66,梨,24.3,75,10.8,5.6,31,1.6,1,3,2,1,低
F67,柑橘,26.7,82,18.8,4,36,2.1,6,6.3,3,3,高
F68,桃,21,69,4.8,7,28,1.2,0,1.3,1,0,低
F69,苹果,28,86,23.3,3.3,39,2.5,9,8.1,4,3,高
F70,梨,23,72,8,6.4,29,1.4,1,2.2,2,1,低
F71,柑橘,25.6,79,16.4,4.5,34,2,4,5.3,3,1,中
F72,桃,20.6,65,2.4,7.9,25,0.9,0,0.4,1,0,低
F73,苹果,24.6,76,12.2,5.3,32,1.7,2,3.7,2,2,中
F74,梨,27.3,83,20.7,3.8,37,2.2,6,6.8,3,3,高
F75,柑橘,22,70,6.6,6.9,28,1.2,0,1.6,1,0,低
F76,桃,26.1,80,17,4.3,35,2,5,5.6,3,2,中
F77,苹果,21.7,69,5.2,7.1,27,1.1,0,1,1,0,低
F78,梨,25,77,13.8,5,32,1.8,3,4.2,2,2,中
F79,柑橘,23.3,73,8.9,5.8,30,1.5,1,2.7,2,1,低
F80,桃,28.3,85,22.5,3.4,38,2.4,8,7.9,4,3,高
F81,苹果,26.6,81,18,4.1,36,2.1,5,6.1,3,2,中
F82,梨,20.9,66,2.9,7.5,26,1,0,0.6,1,0,低
F83,柑橘,24.1,75,11.6,5.5,31,1.6,2,3.2,2,1,中
F84,桃,22.7,71,7.4,6.7,29,1.3,0,1.8,1,0,低
F85,苹果,27.5,84,21.6,3.6,37,2.3,7,7.1,4,3,高
F86,梨,23.5,74,9.5,6.1,30,1.5,1,2.5,2,1,低
F87,柑橘,25.4,78,15.1,4.7,33,1.9,3,4.6,2,2,中
F88,桃,21.3,68,4.4,7.2,27,1.1,0,0.8,1,0,低
F89,苹果,26.8,82,19.3,4,36,2.2,6,6.5,3,3,高
F90,梨,24.5,76,12.5,5.2,32,1.7,2,3.5,2,2,中
F91,柑橘,20.3,64,2,8,25,0.8,0,0.2,1,0,低
F92,桃,23.2,72,8.5,6.2,30,1.4,1,2.4,2,1,低
